tickNum	node1	node2	node3	node4	node5	node6	node7	node8	node9	node10
169	0.79	0.78	0.78	0.78	0.80	0.74	0.79	0.78	0.80	0.76
170	0.79	0.78	0.78	0.78	0.80	0.74	0.79	0.78	0.80	0.76
171	0.80	0.78	0.78	0.77	0.80	0.74	0.79	0.78	0.80	0.76
172	0.80	0.78	0.78	0.77	0.80	0.74	0.79	0.78	0.80	0.76
173	0.80	0.78	0.78	0.77	0.80	0.75	0.79	0.78	0.80	0.76
174	0.80	0.78	0.78	0.78	0.80	0.75	0.79	0.78	0.80	0.76
175	0.80	0.78	0.78	0.78	0.81	0.75	0.79	0.78	0.81	0.77
176	0.80	0.78	0.78	0.78	0.81	0.75	0.79	0.78	0.81	0.77
177	0.80	0.79	0.79	0.78	0.80	0.75	0.79	0.79	0.80	0.77
178	0.80	0.78	0.79	0.78	0.80	0.75	0.79	0.79	0.80	0.76
179	0.80	0.78	0.79	0.78	0.80	0.75	0.79	0.79	0.80	0.77
180	0.80	0.78	0.79	0.78	0.81	0.76	0.79	0.78	0.80	0.77
181	0.80	0.78	0.78	0.78	0.81	0.76	0.80	0.78	0.80	0.77
182	0.80	0.79	0.79	0.78	0.81	0.75	0.80	0.79	0.80	0.77
183	0.80	0.78	0.78	0.78	0.81	0.75	0.80	0.79	0.80	0.77
184	0.80	0.78	0.78	0.78	0.81	0.75	0.80	0.79	0.79	0.77
185	0.80	0.78	0.78	0.78	0.81	0.75	0.80	0.78	0.79	0.77
186	0.80	0.78	0.78	0.78	0.81	0.75	0.80	0.78	0.80	0.77
187	0.80	0.79	0.79	0.78	0.81	0.75	0.80	0.79	0.80	0.78
188	0.80	0.79	0.79	0.78	0.81	0.76	0.80	0.79	0.80	0.77
189	0.80	0.78	0.79	0.78	0.81	0.76	0.80	0.79	0.79	0.77
190	0.79	0.78	0.78	0.78	0.81	0.76	0.80	0.79	0.79	0.77
191	0.80	0.78	0.79	0.78	0.81	0.75	0.80	0.79	0.80	0.77
192	0.79	0.78	0.78	0.78	0.80	0.76	0.80	0.79	0.79	0.77
193	0.79	0.78	0.78	0.78	0.80	0.75	0.79	0.78	0.79	0.77
194	0.79	0.78	0.78	0.77	0.80	0.75	0.79	0.78	0.79	0.76
195	0.79	0.77	0.78	0.77	0.80	0.75	0.79	0.78	0.79	0.76
196	0.79	0.78	0.78	0.77	0.80	0.75	0.79	0.78	0.79	0.77
197	0.79	0.78	0.78	0.77	0.80	0.75	0.79	0.78	0.79	0.77
198	0.79	0.78	0.77	0.77	0.80	0.75	0.79	0.78	0.79	0.77
